ticker,price,mktcap_b,fwd_pe,trail_pe,psr,pbr,ev_ebitda,peg,rev_growth,eps_growth,gross_margin,op_margin,fcf_b,roe,debt_to_equity,beta,div_yield
DE,648.64,175.092219904,28.880468,36.035557,3.6556096,6.252313,24.221,1.49,-0.111,-0.085,0.26092,0.17479,5.664875008,0.18242,376.022,0.901,1.0
DHR,215.11,151.21932288,23.13685,38.412502,6.0229945,2.8755715,22.094,1.43,0.055,0.597,0.58752996,0.19777,4.32512512,0.07605,52.97,0.796,0.73
DUK,121.97,95.100280832,17.005655,18.368977,2.8991337,1.7690657,11.318,2.39,0.011,0.106,0.51971,0.27503002,-4.477374976,0.098570004,162.155,0.371,3.62
DXCM,91.06,34.3624704,29.144236,35.992096,6.915091,13.109703,24.442,1.74,0.131,0.436,0.62473,0.24327,1.021162496,0.38491002,53.346,1.41,
EQIX,1055.2,104.118362112,56.44936,67.85852,10.512758,7.239446,28.087,3.43,0.167,0.288,0.51979,0.27021998,3.776,0.10735,162.217,0.972,1.94
EXC,44.34,45.6814592,14.593687,16.30147,1.8037376,1.5411887,11.496,2.52,0.099,-0.002,0.42363998,0.16590999,-2.68512512,0.09711,177.362,0.396,3.84
FANG,205.6,57.572069376,11.368267,39.161907,3.5597007,1.5220274,6.557,22.3,0.525,1.795,0.72353995,0.48466998,5.035500032,0.034930002,28.678,0.419,2.09
FAST,51.28,58.843676672,36.63485,43.82906,6.725453,14.461365,30.213,3.71,0.147,0.146,0.44701,0.21023001,0.916124992,0.34334,10.851,0.712,1.87
FCX,77.8,111.72216832,18.869617,38.137257,4.3189335,5.5559525,13.447,6.28,-0.073,0.281,0.38275,0.33404,2.15924992,0.14755,32.149,1.379,0.78
FLEX,106.65,39.396827136,14.997659,41.33721,1.3461177,7.162525,20.674,0.94,0.206,0.52,0.0953,0.0497,0.625750016,0.18378,107.818,1.668,
FN,421.14,15.091494912,19.329237,32.246555,3.2517085,6.1491065,27.843,,0.446,0.581,0.11991,0.10231,-0.0578735,0.21326,0.164,1.222,
FTNT,151.99,111.517147136,40.427605,53.897167,14.81483,71.89688,42.039,2.11,0.256,0.439,0.80204004,0.33595002,2.265587456,1.17442,36.194,1.058,
GE,341.84,354.680373248,37.667862,40.358913,7.004095,20.107054,32.393,5.12,0.211,0.194,0.31051,0.20571,6.594625024,0.48231998,113.225,1.366,0.54
GEV,942.1,250.912866304,37.47698,26.971085,6.065532,20.984518,62.898,1.63,0.219,0.328,0.2057,0.07466,15.722125312,0.82577,28.364,1.033,0.21
GILD,146.74,181.95103744,14.833775,,5.97403,15.394462,13.866,2.14,0.102,,0.79603994,0.33679,9.768875008,-0.2068,223.465,0.336,2.24
GOOG,344.59,4214.313189376,23.265799,17.298695,9.451973,6.770473,23.538,0.93,0.242,2.94,0.60897,0.34033,22.66500096,0.48676,18.859,1.237,0.26
GOOGL,348.06,4256.751157248,23.500084,17.464125,9.547153,6.838651,23.755,0.93,0.242,2.94,0.60897,0.34033,22.66500096,0.48676,18.859,1.237,0.26
GS,1036.28,301.735084032,13.997648,16.004324,4.4655185,2.8622644,,1.47,0.425,0.923,0.82075995,0.42176998,0.0,0.16902,725.381,1.288,1.92
HON,214.77,68.069203968,21.49125,8.254035,1.7886119,3.6720982,11.103,4.05,0.043,2.639,0.36511,0.20249,2.610374912,0.46577,185.369,0.918,1.3
IDXX,559.51,44.078825472,33.424137,39.236324,9.6933155,27.366594,27.61,3.41,0.097,0.176,0.62446,0.3498,0.909368384,0.74211,67.971,1.542,
INTC,87.26,461.265534976,42.771786,,8.087837,5.0267878,29.14,1.36,0.254,,0.38873002,0.12189999,4.866375168,-0.10715,48.997,2.241,
INTU,369.92,101.18680576,13.551608,22.556099,4.8356895,4.9181685,15.68,0.95,0.104,0.107,0.80793,0.46974,5.232,0.22496,33.448,0.959,1.31
ISRG,373.57,133.841936384,30.948162,42.889782,12.129517,7.276676,30.793,1.86,0.185,0.265,0.66679,0.33603,2.6152,0.17423001,,1.46,
JNJ,273.04,657.998675968,22.184847,31.675175,6.71914,7.738352,19.486,4.73,0.066,-0.009,0.6814,0.2919,16.88512512,0.25742,57.709,0.231,1.98
JPM,356.39,947.35106048,14.251616,15.269495,5.084319,2.6794832,,1.72,0.304,0.469,0.0,0.50394,0.0,0.17789,,0.977,1.71
KDP,32.51,44.240449536,12.829315,32.838383,2.2021132,1.7673279,17.52,1.1,0.756,-0.9,0.50956,0.12888,4.60724992,0.051,99.649,0.411,2.87
KLAC,181.57,237.229719552,27.494612,49.60929,17.469727,37.375465,39.909,1.76,0.152,0.138,0.61301,0.42486,2.62458752,0.87496,96.88,1.458,0.5
KO,91.99,395.791466496,26.08624,27.624624,7.895459,10.949886,24.827,4.39,0.067,0.169,0.61888003,0.34873,5.218749952,0.42054,115.519,0.342,2.33
LIN,490.03,225.894105088,25.03506,31.61484,6.372369,5.780155,18.045,2.08,0.093,0.113,0.48348,0.28119,4.16075008,0.18400998,68.947,0.726,1.31
LITE,830.17,74.466246656,25.146631,,24.706783,15.838706,95.762,0.63,1.093,,0.44244,0.27954,0.2247,-2.40027,35.987,1.513,
LLY,1246.93,1111.939088384,26.399021,41.913616,13.951495,32.81222,27.932,1.58,0.477,0.262,0.83399004,0.54222,11.065900032,1.02286,162.071,0.506,0.55
LRCX,310.17,388.122247168,26.837955,53.94261,16.705868,31.119696,45.301,1.46,0.3,0.348,0.50469,0.37390998,3.09048448,0.65066004,33.049,1.865,0.33
LULU,122.78,13.942150144,10.910151,9.9417,1.2444412,2.9113414,5.6,0.93,0.043,-0.35,0.55695,0.11205,1.13396096,0.32027,44.264,0.863,
MA,599.86,525.483311104,26.051634,33.01376,14.978288,93.78674,23.497,1.78,0.141,0.221,1.0,0.61108,16.961250304,2.41202,439.583,0.735,0.6
MAR,360.2,93.928022016,27.360031,37.28779,12.718758,-20.840084,22.901,2.02,0.111,0.043,0.79241997,0.65276,2.06037504,,,1.12,0.82
MCHP,74.21,40.296677376,16.255764,109.13235,7.866911,6.246633,30.834,0.23,0.38,,0.60194,0.23958,1.364762496,0.0719,83.688,1.742,2.39
MDB,402.69,32.389132288,54.854176,,12.445875,11.045313,-403.031,1.67,0.252,,0.71970004,-0.03607,0.517605376,-0.00975,1.998,1.545,
MDLZ,64.7,82.577129472,19.247988,23.699633,2.0933115,3.1101282,16.884,1.07,0.041,1.449,0.31146,0.21978001,2.25237504,0.13340001,82.643,0.404,3.23
MELI,1947.9,98.752299008,34.34094,53.047386,2.8068986,12.605565,26.963,1.37,0.498,-0.109,0.47749,0.06716,0.353375008,0.27504,168.586,1.312,
META,559.02,1424.106979328,16.107914,21.047441,6.239324,5.4527903,12.976,0.82,0.28,-0.134,0.81747,0.34827,21.553625088,0.29848,42.997,1.243,0.38
MNST,48.92,95.836807168,37.373466,45.29629,10.395623,10.234309,30.783,2.8,0.202,0.18,0.55546004,0.2918,1.681231104,0.25704,0.992,0.524,
MO,68.47,114.327363584,11.6762705,14.414737,5.592221,-42.84731,8.41,2.6,0.012,-0.027,0.8717,0.61464,9.035249664,,,0.495,6.42
MPC,362.52,101.804589056,11.257745,12.56133,0.68657553,5.3778367,8.733,1.79,0.537,3.48,0.12819,0.13561,9.249375232,0.42099,133.328,0.508,1.11
MRK,150.66,371.704070144,15.793247,120.528,5.583741,8.8696575,14.658,10.47,0.051,,0.759,-0.00241,15.171500032,0.06961,128.408,0.211,2.23
MRVL,229.29,205.797965824,36.677242,78.52397,23.608536,11.021438,76.99,1.4,0.276,-0.804,0.51502997,0.14479999,2.269700096,0.16028,28.97,2.246,0.1
MS,214.08,336.226844672,15.701461,17.292408,4.320127,3.1574755,,2.03,0.28,0.624,0.87641,0.41567,0.0,0.17969999,517.282,1.209,2.15
MSFT,487.31,3618.54271488,20.672134,27.17847,10.904512,8.181147,18.741,1.57,0.177,0.317,0.67944,0.45111,16.54550016,0.34039003,29.118,1.099,0.75
MU,910.43,1028.233428992,5.8727856,20.560751,11.39014,10.204899,15.717,0.14,3.457,13.685,0.72569,0.80370003,7.639499776,0.66638,6.33,2.213,0.05
NBIS,210.91,57.336987648,-70.36197,,39.517136,5.591167,241.153,0.63,4.54,,0.7426,-0.00223,-9.614650368,0.00601,98.596,1.434,
NEE,84.1,175.430762496,19.05271,18.898876,6.1114774,3.0706878,20.067,1.83,0.124,0.531,0.61024,0.31524,-17.766875136,0.11677,161.676,0.653,2.98
NEM,131.84,138.91878912,12.452749,16.625473,5.391345,3.9615386,7.938,2.78,0.151,0.114,0.68041,0.51569,8.815875072,0.25905,15.807,0.5,0.79
NFLX,80.01,333.156810752,20.940039,25.160378,6.887565,11.049579,23.015,1.78,0.134,0.111,0.49118,0.33381,25.387552768,0.49541,55.236,1.514,
NVDA,208.48,5049.593888768,15.986504,31.92649,19.92021,25.833954,31.151,0.59,0.852,2.145,0.74144995,0.65596,46.335873024,1.14288,6.555,2.215,0.47
NXPI,222.44,56.091398144,12.292824,18.963343,4.2541823,4.9226546,12.824,0.55,0.195,0.726,0.56102,0.30406,3.555000064,0.27921,93.325,1.825,1.8
ODFL,201.48,41.901449216,30.340904,38.671783,7.457057,9.192445,23.727,2.92,0.104,0.323,0.39566,0.28835,0.970776,0.24818,0.44,1.177,0.56
ON,71.93,28.003190784,15.884092,47.013073,4.518247,3.879092,14.238,0.23,0.092,0.366,0.42776,0.19532,1.656649984,0.08312,65.055,2.016,
ONTO,282.91,17.29243136,24.27414,105.9588,15.437783,6.6003313,45.256,1.21,0.353,0.754,0.55492,0.2297,0.202947248,0.06825,76.547,1.587,
ORLY,90.68,73.356566528,24.83023,28.7873,3.9497278,-40.32014,19.524,1.89,0.081,0.103,0.51636004,0.2015,1.570733824,,,0.519,
PANW,350.9,285.983506432,85.23507,305.13043,26.963043,10.3108835,195.944,3.97,0.311,,0.71963996,-0.02465,3.579375104,0.048309997,7.698,0.893,
PAYX,126.01,44.819595264,19.73677,25.768917,11.29526,11.996383,29.702,2.19,0.125,0.434,0.67197996,0.38325,0.0,,123.967,,3.82
PCAR,129.94,68.395864064,18.207909,27.298319,2.4588852,3.365711,22.961,1.3,0.005,0.042,0.13715,0.12024,1.943650048,0.12755999,72.91,0.985,1.07
PDD,87.07,123.9351296,7.0925746,9.079249,0.280141,1.9470396,-3.158,0.82,0.11,-0.149,0.55979,0.18419,71.64284928,0.254,1.21,-0.005,
PEP,144.67,197.61922048,16.113043,18.960682,2.0393298,8.942944,12.631,1.55,0.064,1.37,0.54171,0.16836001,7.831875072,0.51508,238.949,0.361,4.13
PFE,27.97,159.419858944,9.660151,36.80263,2.5028238,1.8711532,8.355,2.72,0.026,,0.74716,0.27877,12.485624832,0.05014,74.253,0.28,6.13
PG,146.6,340.761903104,19.814856,22.111614,3.922381,6.3886347,14.64,4.15,0.015,-0.155,0.50873,0.22084999,13.280874496,0.30290002,64.49,0.377,3.01
PLD,143.36,139.3590272,42.10279,31.857779,14.430174,2.4925673,25.544,130.84,0.123,0.853,0.75549006,0.43030998,5.406941184,0.07749,63.823,1.324,3.02
PLTR,175.89,422.67394048,76.00336,150.33334,68.66114,43.237465,158.985,2.41,0.928,2.154,0.84796,0.47120997,2.159104512,0.38097,2.139,1.563,
PM,191.46,298.41211392,20.881731,26.29945,7.0140347,-34.766663,18.787,2.45,0.104,-0.075,0.67481005,0.40002,9.714374656,,,0.4,3.12
QCOM,158.53,166.493585408,15.539186,18.138445,3.7780206,6.058394,14.65,0.71,-0.04,-0.23,0.54226,0.18528,10.241000448,0.33754003,55.21,1.663,2.29
REGN,828.5,85.298208768,13.668875,20.482077,5.490818,2.620915,16.586,1.38,0.167,-0.045,0.44458,0.33106,3.065299968,0.14043,8.535,0.188,0.45
ROP,415.51,41.094303744,17.10452,17.305706,4.9629,2.1975007,15.961,1.78,0.085,2.33,0.69525003,0.27725,2.265687552,0.13066,60.531,0.737,0.88
ROST,241.52,77.475053568,27.047064,29.204351,3.160725,12.297353,19.537,2.82,0.133,0.705,0.34175,0.17616,2.15628288,0.42628,70.281,0.877,0.74
RTX,209.22,281.977946112,26.632347,36.76977,3.015807,4.2481217,19.832,2.61,0.145,0.287,0.20347,0.12696,9.880000512,0.12274,57.02,0.294,1.39
S,20.82,7.137172992,42.2621,,6.778165,4.944194,-25.462,,0.208,,0.73247004,-0.28803,0.268394256,-0.21356001,,0.751,
SANM,185.41,9.937485824,13.322221,33.168156,0.7785941,3.8822815,12.601,0.65,0.697,0.683,0.090150006,0.0704,-0.222215744,0.12488,88.161,1.601,
SHW,346.73,84.17153024,25.47019,31.956682,3.4481971,21.707256,20.892,2.58,0.075,0.143,0.48981997,0.18124,2.506037504,0.65124,389.958,1.093,0.92
SITM,580.97,17.403256832,38.926693,937.04834,37.34174,15.026121,390.35,3.82,1.265,,0.58714,0.10623,0.0247475,0.013259999,129.419,2.865,
SNPS,394.51,75.540512768,22.85095,90.07078,8.703445,2.4780624,49.839,2.14,0.419,-0.96,0.82598996,0.10383,3.538958592,0.03824,35.574,1.213,
SO,90.1,103.647707136,18.294563,21.710842,3.4344313,2.6193383,12.568,2.26,0.001,0.304,0.48289,0.29612,-3.913374976,0.114829995,182.058,0.327,3.42
STX,794.65,180.103069696,14.351273,3056.3464,14.791763,162.83812,43.279,0.49,0.485,1.488,0.45576,0.4307,1.943750016,3.7152898,179.88,2.102,0.35
TEAM,171.33,43.370274816,25.383614,,6.5989413,41.017475,99.647,1.8,0.276,,0.85643,0.122609995,1.655499904,-0.04478,116.483,1.038,
TLN,305.535,14.639483904,9.930265,,3.9132543,9.056377,41.98,,1.112,,0.42101002,-0.04797,1.261750016,-0.12825,584.137,1.673,
TMO,628.74,232.474918912,22.854895,33.87608,5.0171556,4.4130464,23.11,2.05,0.105,0.094,0.40987998,0.18751,6.237250048,0.13515,80.575,0.847,0.3
TMUS,182.62,195.89128192,12.648092,19.122513,2.1248877,3.4885764,9.134,0.84,0.079,0.053,0.63054,0.2522,11.335999488,0.17994,214.035,0.327,2.23
TSLA,348.95,1378.194685952,161.6572,320.1376,13.300598,15.864969,130.762,5.32,0.255,-0.03,0.18852,0.014099999,4.835999744,0.046669997,18.373,1.827,
TSM,410.12,2127.076655104,18.829021,30.583147,0.4790182,84.42054,4.728,1.0,0.36,0.774,0.6423,0.60344005,730.82601472,0.39969003,16.504,1.258,1.04
TTD,13.27,6.235310592,13.332262,15.79762,2.0852919,2.547514,7.367,1.12,0.03,-0.236,0.76872003,0.14205,0.582992768,0.15441,16.863,1.037,
TTWO,233.5,43.659935744,22.66757,,6.529565,12.3303585,59.912,3.28,0.02,,0.57126,0.0051499996,1.256137472,-0.09039,81.607,0.983,
TXN,258.94,236.476350464,24.632826,39.352585,12.156292,13.128835,26.101,1.17,0.228,0.518,0.58325,0.42576998,3.545250048,0.35176,78.036,1.325,2.15
UNH,398.76,357.924929536,17.773722,25.61079,0.7944601,3.6657138,14.974,1.2,0.004,0.615,0.19723,0.071329996,24.27225088,0.14152999,69.211,0.632,2.38
UNP,309.86,184.080236544,21.890543,25.089876,7.244401,9.473523,16.459,3.41,0.115,0.066,0.56285,0.40982,4.72075008,0.39696,150.772,0.965,1.84
V,382.41,713.977561088,25.503063,32.517857,16.048767,20.265501,22.273,1.68,0.144,0.102,0.97725,0.66130996,20.404000768,0.6119,67.821,0.759,0.72
VIAV,36.95,9.117406208,18.94182,,6.0050097,6.30116,34.591,1.34,0.525,3.265,0.6089,0.14308,0.158712496,-0.02728,48.243,1.234,
VRSK,189.55,24.671072256,21.796751,29.116743,7.919385,-21.26669,18.782,1.78,0.044,-0.034,0.70179003,0.45106998,1.055550016,,,0.664,1.07
VRT,254.97,98.1604352,28.022408,57.555305,8.5508585,20.63031,37.732,1.23,0.241,0.53,0.38039002,0.20362,2.6965376,0.43943,70.166,2.077,0.1
VRTX,547.59,138.792681472,24.955624,31.92945,11.019492,6.8516417,26.083,1.9,0.125,0.08,0.54957,0.38055,2.627887616,0.23542999,9.767,0.305,
WDAY,199.15,49.184763904,15.756023,62.23437,4.99135,7.4201717,32.311,0.79,0.135,2.48,0.75766,0.13297,3.118749952,0.10858,56.936,1.054,
WELL,240.01,172.944490496,75.71293,108.11261,13.550229,3.717454,57.301,3.66,0.391,0.356,0.39560002,0.16561002,2.756164352,0.03836,41.375,0.763,1.42
WFC,84.72,256.193216512,10.72348,12.313953,3.0856986,1.5926608,,1.58,0.095,0.25,0.0,0.37387002,0.0,0.12575,,0.92,2.39
WMT,106.49,847.455780864,33.020157,38.583332,1.1516849,8.988015,18.995,3.95,0.059,-0.091,0.25231,0.04993,8.984500224,0.22313999,70.378,0.605,0.95
XEL,77.33,48.302972928,17.027678,21.186302,3.304801,2.027477,14.257,2.07,-0.051,0.24,0.46825,0.22700001,-7.907999744,0.0992,173.135,0.405,3.11
XOM,164.05,674.559164416,15.36476,21.086119,1.8682743,2.6006658,10.56,1.29,0.441,1.128,0.29767,0.15859,20.671000576,0.12584,15.921,0.173,2.5
ZS,176.06,28.470577152,38.290478,,8.9711685,12.030065,-455.934,1.98,0.254,,0.76737,-0.03276,1.10881856,-0.037100002,78.939,0.917,
A,153.43,43.3335296,23.215662,30.809235,5.991915,6.0798063,23.147,1.42,0.1,0.6,0.52641,0.23706,0.930625024,0.21330999,49.733,1.229,0.64
ACGL,101.14,34.51191296,10.356148,7.913928,1.7932996,1.4804298,6.186,1.05,-0.105,-0.071,0.38758,0.26584998,4.302125056,0.19936001,17.836,0.288,
ACN,186.53,114.145558528,12.714926,14.8985615,1.5614861,3.5787878,8.747,1.35,0.056,0.09,0.32013,0.16964,12.089380864,0.24406,25.035,1.074,3.52
ADM,78.16,37.669961728,13.752962,21.355192,0.4588329,1.5981352,15.776,1.04,0.072,3.156,0.0687,0.04008,1.164625024,0.07642,39.134,0.612,2.59
AEE,107.16,29.666525184,18.447714,18.866198,3.5271103,2.167169,13.122,2.82,-0.062,0.119,0.52408004,0.25236,-1.786249984,0.11943,157.846,0.476,2.83
AES,14.75,10.523219968,6.2034216,5.5243444,0.8058125,2.1284273,12.164,0.81,0.199,,0.2027,0.18673,-3.08912512,0.095740005,256.886,0.952,4.77
AFL,118.2,59.2587776,15.62781,12.750808,3.2795825,1.95851,10.788,1.18,-0.01,0.468,0.50888,0.25722998,5.152249856,0.16908,53.365,0.595,2.1
AIG,77.38,40.461471744,8.809528,14.120438,1.5132006,0.9999224,4.721,0.62,0.005,-0.101,0.35087,0.19414,7.365000192,0.0722,22.466,0.517,2.63
AIZ,287.81,14.195873792,12.342963,13.784004,1.0549691,2.3307474,8.165,2.16,0.094,0.305,0.13272999,0.11734,2.149574912,0.18341999,36.211,0.543,1.24
AJG,271.99,69.722185728,18.272585,45.031456,4.6146126,2.9392884,18.742,0.87,0.309,-0.107,0.43186,0.1916,2.082300032,0.06722,59.401,0.502,1.06
AKAM,105.66,15.185097728,14.746294,38.28261,3.5127645,3.195041,20.236,1.31,0.054,-0.268,0.57452,0.076290004,0.710060096,0.08918,196.672,0.645,
ALB,141.51,16.698894336,12.302178,524.1111,2.8265345,2.0767536,13.333,0.79,0.311,,0.23959999,0.2771,1.334340224,0.02648,18.976,1.317,1.14
ALGN,159.64,11.340803072,12.721788,27.715277,2.739634,2.6872253,11.61,0.77,0.043,-0.121,0.70365,0.18247,0.584361344,0.10155,2.855,1.653,
ALL,260.19,65.791111168,9.452665,5.2110953,0.9380371,2.0850062,3.97,3.04,0.118,0.612,0.36800998,0.22827,15.15862528,0.46113998,22.261,0.156,1.7
ALLE,162.63,13.829532672,16.63872,21.370565,3.2247949,6.52949,14.966,2.32,0.127,0.162,0.44801,0.22102,0.484449984,0.3373,104.895,0.845,1.31
AMCR,47.91,22.150981632,10.647756,20.13025,0.9423544,1.8772041,10.317,1.09,0.259,,0.19951999,0.09691,1.504,0.09396,128.294,0.593,5.35
AME,242.33,55.556878336,26.874971,35.376644,7.062984,4.933629,22.688,3.06,0.15,0.142,0.36905998,0.26182,1.492221312,0.14562,20.522,0.997,0.57
AMP,561.13,49.566416896,10.860204,13.557139,2.500322,7.7962875,,1.78,0.116,0.117,0.54932,0.30719998,2.903124992,0.63432,67.578,1.137,1.22
AMT,178.39,83.122618368,25.447786,24.50412,7.5970035,22.346237,18.691,1.64,0.047,1.385,0.73774004,0.45411,2.920012544,0.33914003,438.721,0.894,3.97
AON,359.1,76.174245888,16.824148,19.785124,4.3337455,7.931705,15.291,3.02,0.022,-0.03,0.48154,0.23457001,3.19087488,0.44699,163.481,0.676,0.92
